step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,43.428585052490234,18.020678460597992,0.02362060546875,0.19952392578125,0.005788748909253627
200,2.815255880355835,2.7839677333831787,0.06732177734375,0.48162841796875,0.011319848737912253
400,2.7461276054382324,2.728697068989277,0.08184814453125,0.52044677734375,0.019262794754467905
600,2.302525043487549,2.2728899270296097,0.15496826171875,0.9869384765625,0.019068267138209194
800,1.9873714447021484,2.0058587305247784,0.15960693359375,1.0,0.015418782801134512
1000,1.939475655555725,1.9219740480184555,0.1610107421875,1.0,0.012861665309173986
1200,1.9203516244888306,1.9257344231009483,0.15533447265625,1.0,0.012369901116471738
1400,1.9130616188049316,1.9129779189825058,0.157470703125,1.0,0.011740221205400303
1600,1.9013993740081787,1.9051484055817127,0.1563720703125,1.0,0.011930533626582474
1800,1.8771371841430664,1.8725941814482212,0.193115234375,1.0,0.014680312684504315
2000,1.632211446762085,1.6022216379642487,0.299560546875,0.99993896484375,0.013765871961368248
