step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,43.428340911865234,18.02161693572998,0.0235595703125,0.1995849609375,0.008682979096192867
200,2.8151602745056152,2.7839344814419746,0.067626953125,0.4805908203125,0.01697869988856837
400,2.755143642425537,2.739967994391918,0.0831298828125,0.51947021484375,0.027308733202517033
600,2.272587299346924,2.286524884402752,0.15582275390625,0.974609375,0.027737791009712964
800,1.978507161140442,1.9783631041646004,0.16375732421875,1.0,0.02971935027744621
1000,1.9306734800338745,1.928135957568884,0.16192626953125,1.0,0.02759980340488255
1200,1.907630443572998,1.9086303003132343,0.1546630859375,1.0,0.026626062870491296
1400,1.90793776512146,1.9003407172858715,0.157958984375,1.0,0.025989310233853757
1600,1.912445306777954,1.9146876521408558,0.15673828125,1.0,0.02599686960456893
1800,1.888745665550232,1.8966976590454578,0.1661376953125,1.0,0.02844922849908471
2000,1.7076481580734253,1.6950987689197063,0.29437255859375,0.9998779296875,0.011742362228687853
2200,1.4923447370529175,1.509189423173666,0.33734130859375,0.99981689453125,0.008975971577456221
2400,1.4220095872879028,1.484738826751709,0.336669921875,1.0,0.008768130064709112
2600,1.3982173204421997,1.4245248772203922,0.34454345703125,1.0,0.008540390321286395
2800,1.4055041074752808,1.414369497448206,0.34100341796875,1.0,0.00890230099321343
3000,1.38949453830719,1.4042691178619862,0.3375244140625,1.0,0.008589398377807811
3200,1.4061877727508545,1.402167696505785,0.333740234375,1.0,0.00867728391312994
3400,1.4296019077301025,1.3943919353187084,0.34228515625,1.0,0.008988803339889273
3600,1.39265775680542,1.3917797431349754,0.342529296875,1.0,0.008732193120522425
3800,1.377298355102539,1.3851252011954784,0.34149169921875,1.0,0.009036878647748381
4000,1.3720059394836426,1.3910735845565796,0.3468017578125,1.0,0.008790128020336851
