step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,43.551029205322266,17.922077775001526,0.02325439453125,0.19598388671875,
200,2.803818941116333,2.776644356548786,0.07391357421875,0.5130615234375,
400,2.7338314056396484,2.7248404920101166,0.0869140625,0.544677734375,
600,2.2338507175445557,2.2280841916799545,0.15380859375,0.970703125,
800,1.9905531406402588,1.9663910530507565,0.160888671875,1.0,
1000,1.9352085590362549,1.9372850395739079,0.162109375,1.0,
1200,1.922192096710205,1.9166734479367733,0.1600341796875,1.0,
1400,1.9168809652328491,1.9027119651436806,0.16143798828125,1.0,
1600,1.9150440692901611,1.914776436984539,0.16070556640625,1.0,
1800,1.8244062662124634,1.7670806758105755,0.23516845703125,1.0,
2000,1.6581007242202759,1.6525189839303493,0.2384033203125,1.0,
