split,step,loss
train,100,8.193739891052246
train,200,7.788745403289795
train,300,7.459905624389648
train,400,7.169081687927246
train,500,6.959844589233398
train,600,6.849145889282227
train,700,6.728024959564209
train,800,6.645907402038574
train,900,6.58167028427124
train,1000,6.457845687866211
train,1100,6.446038722991943
train,1200,6.354861259460449
train,1300,6.29271936416626
train,1400,6.247766494750977
train,1500,6.1674418449401855
train,1600,6.164834499359131
train,1700,6.107359409332275
train,1800,6.040785789489746
train,1900,6.034897327423096
train,2000,5.960845947265625
train,2100,5.9834885597229
train,2200,5.929757595062256
train,2300,5.893321514129639
train,2400,5.87938928604126
train,2500,5.819334506988525
train,2600,5.84171199798584
train,2700,5.7964396476745605
train,2800,5.76033878326416
train,2900,5.776334285736084
train,3000,5.69843053817749
train,3100,5.752036094665527
train,3200,5.709166049957275
train,3300,5.674539089202881
train,3400,5.679725170135498
train,3500,5.619921684265137
train,3600,5.6659746170043945
train,3700,5.624902725219727
train,3800,5.587564468383789
train,3900,5.616434097290039
train,4000,5.537116527557373
train,4100,5.601955890655518
train,4200,5.568626403808594
train,4300,5.529336452484131
train,4400,5.553194522857666
train,4500,5.499138832092285
train,4600,5.53515625
train,4700,5.50788688659668
train,4800,5.476204872131348
train,4900,5.503863334655762
train,5000,5.43668270111084
train,5100,5.489325046539307
train,5200,5.4643988609313965
train,5300,5.442989349365234
train,5400,5.463934421539307
train,5500,5.397404193878174
train,5600,5.444760799407959
train,5700,5.424031734466553
train,5800,5.389523029327393
train,5900,5.417291641235352
train,6000,5.362475872039795
train,6100,5.4228692054748535
train,6200,5.38834810256958
train,6300,5.374011516571045
train,6400,5.390135765075684
train,6500,5.321791172027588
train,6600,5.380295276641846
train,6700,5.350884437561035
train,6800,5.319550037384033
train,6900,5.36198091506958
train,7000,5.29055118560791
train,7100,5.361213684082031
train,7200,5.330444812774658
train,7300,5.30487060546875
train,7400,5.330322742462158
train,7500,5.267655372619629
train,7600,5.324970722198486
train,7700,5.30534553527832
train,7800,5.261441707611084
train,7900,5.306648254394531
train,8000,5.240616321563721
train,8100,5.320387840270996
train,8200,5.278054237365723
train,8300,5.262342929840088
train,8400,5.284730911254883
train,8500,5.218733310699463
train,8600,5.277867794036865
train,8700,5.260603427886963
train,8800,5.2151360511779785
train,8900,5.274997234344482
train,9000,5.201479911804199
train,9100,5.265067100524902
train,9200,5.240612506866455
train,9300,5.216920852661133
train,9400,5.239434242248535
train,9500,5.189484596252441
train,9600,5.236785888671875
train,9700,5.225294589996338
train,9800,5.181815147399902
train,9900,5.221950054168701
train,10000,5.171166896820068
train_subset,100,7.963317036628723
train_subset,200,7.693239450454712
train_subset,300,7.351009249687195
train_subset,400,7.14084792137146
train_subset,500,6.990757584571838
train_subset,600,6.858856916427612
train_subset,700,6.782403230667114
train_subset,800,6.689377307891846
train_subset,900,6.606958508491516
train_subset,1000,6.547707796096802
train_subset,1100,6.441223978996277
train_subset,1200,6.40443742275238
train_subset,1300,6.34175717830658
train_subset,1400,6.307407975196838
train_subset,1500,6.268788456916809
train_subset,1600,6.208274841308594
train_subset,1700,6.170552372932434
train_subset,1800,6.127511620521545
train_subset,1900,6.0942747592926025
train_subset,2000,6.076848149299622
train_subset,2100,6.003739595413208
train_subset,2200,5.992866158485413
train_subset,2300,5.974055290222168
train_subset,2400,5.9452526569366455
train_subset,2500,5.9314000606536865
train_subset,2600,5.898568868637085
train_subset,2700,5.876973032951355
train_subset,2800,5.866314172744751
train_subset,2900,5.831361174583435
train_subset,3000,5.8402827978134155
train_subset,3100,5.781346559524536
train_subset,3200,5.779371738433838
train_subset,3300,5.761582612991333
train_subset,3400,5.7518532276153564
train_subset,3500,5.739163398742676
train_subset,3600,5.719881892204285
train_subset,3700,5.716928482055664
train_subset,3800,5.704325318336487
train_subset,3900,5.686291217803955
train_subset,4000,5.689787864685059
train_subset,4100,5.629222631454468
train_subset,4200,5.643122911453247
train_subset,4300,5.641217827796936
train_subset,4400,5.614093542098999
train_subset,4500,5.610426545143127
train_subset,4600,5.599230885505676
train_subset,4700,5.5908390283584595
train_subset,4800,5.581387519836426
train_subset,4900,5.575152635574341
train_subset,5000,5.580128908157349
train_subset,5100,5.5218552350997925
train_subset,5200,5.5357255935668945
train_subset,5300,5.534240245819092
train_subset,5400,5.531459927558899
train_subset,5500,5.537159204483032
train_subset,5600,5.516909956932068
train_subset,5700,5.51634669303894
train_subset,5800,5.510020971298218
train_subset,5900,5.498604774475098
train_subset,6000,5.506302714347839
train_subset,6100,5.448012709617615
train_subset,6200,5.466995596885681
train_subset,6300,5.4680691957473755
train_subset,6400,5.452664613723755
train_subset,6500,5.452951908111572
train_subset,6600,5.445594310760498
train_subset,6700,5.431116938591003
train_subset,6800,5.429313778877258
train_subset,6900,5.4293365478515625
train_subset,7000,5.435463190078735
train_subset,7100,5.3892518281936646
train_subset,7200,5.399797320365906
train_subset,7300,5.409860610961914
train_subset,7400,5.392486333847046
train_subset,7500,5.410543084144592
train_subset,7600,5.396358966827393
train_subset,7700,5.395291209220886
train_subset,7800,5.393084168434143
train_subset,7900,5.3817044496536255
train_subset,8000,5.387476682662964
train_subset,8100,5.338405609130859
train_subset,8200,5.3532938957214355
train_subset,8300,5.350903511047363
train_subset,8400,5.349012494087219
train_subset,8500,5.359806656837463
train_subset,8600,5.340803861618042
train_subset,8700,5.344288349151611
train_subset,8800,5.347461104393005
train_subset,8900,5.343372702598572
train_subset,9000,5.357152938842773
train_subset,9100,5.297211050987244
train_subset,9200,5.31538712978363
train_subset,9300,5.314222812652588
train_subset,9400,5.310741424560547
train_subset,9500,5.318676471710205
train_subset,9600,5.308133125305176
train_subset,9700,5.30755078792572
train_subset,9800,5.313857555389404
train_subset,9900,5.303901314735413
train_subset,10000,5.308557033538818
validation_subset,100,7.858013391494751
validation_subset,200,7.559501051902771
validation_subset,300,7.221136450767517
validation_subset,400,6.995572447776794
validation_subset,500,6.8496787548065186
validation_subset,600,6.732880234718323
validation_subset,700,6.651674866676331
validation_subset,800,6.5597450733184814
validation_subset,900,6.491191387176514
validation_subset,1000,6.422989368438721
validation_subset,1100,6.35576069355011
validation_subset,1200,6.300047159194946
validation_subset,1300,6.245075225830078
validation_subset,1400,6.198578715324402
validation_subset,1500,6.159657835960388
validation_subset,1600,6.116780996322632
validation_subset,1700,6.074338793754578
validation_subset,1800,6.030244827270508
validation_subset,1900,5.99105966091156
validation_subset,2000,5.977573871612549
validation_subset,2100,5.932993054389954
validation_subset,2200,5.9071550369262695
validation_subset,2300,5.885787129402161
validation_subset,2400,5.851967692375183
validation_subset,2500,5.832988262176514
validation_subset,2600,5.8052451610565186
validation_subset,2700,5.7951706647872925
