split,step,loss
train,20,8.986828804016113
train,40,8.05337905883789
train,60,8.007411003112793
train,80,7.948973178863525
train,100,7.9315996170043945
train,120,7.929152011871338
train,140,7.861423015594482
train,160,7.797544956207275
train,180,7.734935760498047
train,200,7.663205146789551
train_subset,20,8.3024742603302
train_subset,40,8.032400608062744
train_subset,60,8.009657621383667
train_subset,80,7.990718960762024
train_subset,100,7.976397514343262
train_subset,120,7.9318379163742065
train_subset,140,7.881941318511963
train_subset,160,7.817572116851807
train_subset,180,7.7470409870147705
train_subset,200,7.683675527572632
validation_subset,20,8.213975191116333
validation_subset,40,7.923900127410889
validation_subset,60,7.902869701385498
validation_subset,80,7.879607677459717
validation_subset,100,7.861709713935852
validation_subset,120,7.820674419403076
validation_subset,140,7.757866978645325
validation_subset,160,7.691673517227173
validation_subset,180,7.623651742935181
validation_subset,200,7.551035165786743
