section,total_seconds,wall_share_percent,calls,average_milliseconds
train.forward_backward_step,1099.36,73.6053,10000,109.936
model.forward_backward,1099.2,73.5948,10000,109.92
model.forward,754.173,50.494,20000,37.7086
decoder.forward,701.291,46.9534,20000,35.0646
decoder_block.forward,701.198,46.9471,80000,8.76497
decoder.backward,677.936,45.3897,10000,67.7936
decoder_block.backward,677.905,45.3876,40000,16.9476
train.validation_step,378.159,25.3188,10000,37.8159
model.forward_loss,378.037,25.3106,10000,37.8037
feed_forward.forward,362.702,24.2839,80000,4.53378
attention.backward,362.127,24.2454,40000,9.05317
attention.forward,326.346,21.8498,80000,4.07933
feed_forward.backward,307.044,20.5574,40000,7.67609
attention.backward.qkv_projection,237.279,15.8865,40000,5.93197
feed_forward.forward.hidden_projection,187.006,12.5206,80000,2.33757
feed_forward.forward.output_projection,174.344,11.6728,80000,2.1793
attention.forward.qkv_projection,167.297,11.201,80000,2.09122
feed_forward.backward.hidden_projection,150.739,10.0924,40000,3.76847
feed_forward.backward.output_projection,149.339,9.99864,40000,3.73347
attention.forward.output_projection,106.15,7.10703,80000,1.32687
attention.backward.output_projection,82.4652,5.52128,40000,2.06163
model.compute_logits_and_loss,52.3303,3.50366,20000,2.61651
model.backward_logits,38.8155,2.5988,10000,3.88155
attention.forward.attention_mix,32.1933,2.15543,80000,0.402417
attention.backward.attention_mix,22.1573,1.48349,40000,0.553932
attention.forward.softmax,17.1891,1.15086,80000,0.214863
train.optimizer_step,16.0144,1.07221,10000,1.60144
model.update,16.0104,1.07194,10000,1.60104
param.update,15.8544,1.0615,430000,0.0368707
attention.backward.qk_scores,12.9458,0.866755,40000,0.323644
rms_norm.forward,8.01024,0.536308,160000,0.050064
rms_norm.backward,7.01765,0.469851,80000,0.0877207
feed_forward.backward.activation,3.91412,0.262061,40000,0.0978529
attention.backward.softmax,1.67049,0.111844,40000,0.0417623
model.compute_input_embeddings,0.459553,0.0307683,20000,0.0229776
model.accumulate_embedding_grads,0.292233,0.0195658,10000,0.0292233
train.generate_batch,0.249844,0.0167278,20000,0.0124922
