step,train_loss,val_loss,step_time_ms,tokens_per_second
0,3.14991,3.14374,85.6673,1494.15
100,2.66681,2.64307,85.089,1504.31
200,2.59264,2.59734,84.8638,1508.3
300,2.56364,2.57718,85.1106,1503.93
400,2.55675,2.54052,84.9763,1506.3
500,2.50512,2.48772,84.7394,1510.51
600,2.49498,2.47686,85.1795,1502.71
700,2.48855,2.48351,84.9049,1507.57
800,2.47129,2.45942,84.7391,1510.52
900,2.45213,2.4499,85.1915,1502.5
1000,2.44491,2.43776,84.975,1506.33
1100,2.42733,2.44517,85.8741,1490.55
1200,2.40451,2.42089,84.8515,1508.52
1300,2.41844,2.43173,84.5845,1513.28
1400,2.39712,2.41447,84.7188,1510.88
1500,2.37987,2.42506,84.4447,1515.79
1600,2.39172,2.41889,84.6597,1511.94
1700,2.40537,2.41074,84.7199,1510.86
1800,2.38695,2.41708,85.3786,1499.2
1900,2.37574,2.40609,84.5702,1513.53
2000,2.38315,2.39509,84.3856,1516.85
2100,2.38918,2.39865,84.3951,1516.68
2200,2.3662,2.38438,84.6347,1512.38
2300,2.36251,2.42314,87.6155,1460.93
2400,2.36848,2.37384,101.523,1260.8
2500,2.35193,2.36727,114.382,1119.06
2600,2.36682,2.36168,147.192,869.612
2700,2.34199,2.36734,120.632,1061.08
2800,2.35407,2.37501,96.0632,1332.46
2900,2.36073,2.36342,104.797,1221.41
3000,2.34761,2.37432,115.722,1106.1
3100,2.3527,2.37129,128.254,998.02
3200,2.33611,2.35512,141.135,906.93
3300,2.31919,2.34465,150.646,849.677
3400,2.37083,2.36571,241.304,530.451
3500,2.33069,2.37148,174.274,734.475
3600,2.33837,2.35326,133.541,958.509
3700,2.32761,2.35764,128.034,999.738
3800,2.33417,2.36752,134.628,950.766
3900,2.33413,2.34005,123.345,1037.74
4000,2.32072,2.36582,126.009,1015.8
4100,2.32418,2.35783,122.997,1040.67
4200,2.3295,2.34525,123.381,1037.44
4300,2.306,2.34426,123.139,1039.47
4400,2.31043,2.36754,122.188,1047.57
4500,2.3072,2.34087,123.626,1035.38
4600,2.321,2.36713,122.833,1042.07
4700,2.34843,2.34794,122.468,1045.17
4800,2.31169,2.30683,122.391,1045.83
4900,2.29956,2.35937,192.834,663.783
5000,2.30809,2.3488,194.417,658.38
5100,2.29482,2.33373,194.731,657.316
5200,2.29333,2.36818,197.731,647.345
5300,2.30849,2.3657,202.898,630.857
5400,2.30608,2.35946,222.085,576.356
5500,2.3117,2.36456,196.439,651.602
5600,2.33484,2.34356,203.673,628.459
5700,2.31262,2.36365,203.807,628.044
5800,2.31397,2.33855,179.795,711.923
5900,2.32549,2.32288,183.536,697.412
6000,2.28472,2.32829,196.815,650.357
6100,2.28758,2.31754,182.316,702.079
6200,2.2995,2.34174,191.416,668.7
6300,2.29294,2.33684,193.019,663.148
6400,2.25789,2.32489,189.636,674.979
6500,2.28961,2.35116,197.077,649.494
6600,2.30469,2.35216,139.062,920.453
6700,2.29439,2.33779,138.97,921.064
6800,2.28688,2.34839,249.727,512.56
6900,2.27972,2.3358,354.576,360.995
7000,2.27631,2.339,406.544,314.849
7100,2.28898,2.32542,159.047,804.796
7200,2.30702,2.30492,147.459,868.04
7300,2.29239,2.31882,153.36,834.637
7400,2.27509,2.31895,139.758,915.869
7500,2.30188,2.31869,151.192,846.608
7600,2.26799,2.33018,143.359,892.866
7700,2.27944,2.33526,146.871,871.512
7800,2.28544,2.31857,135.431,945.132
7900,2.27845,2.31288,148.189,863.761
8000,2.27285,2.3415,145.67,878.696
8100,2.25806,2.31716,253.477,504.977
8200,2.26326,2.32725,251.147,509.662
8300,2.28398,2.31332,243.098,526.536
8400,2.28799,2.33451,255.682,500.622
8500,2.29252,2.3376,271.394,471.64
8600,2.25793,2.29173,258.692,494.796
8700,2.26824,2.30048,162.131,789.483
8800,2.26899,2.3086,166.571,768.441
8900,2.25962,2.34546,177.44,721.372
9000,2.28386,2.33523,246.042,520.236
9100,2.26705,2.32702,213.85,598.552
9200,2.26487,2.29975,143.739,890.504
9300,2.26258,2.33442,136.449,938.077
9400,2.24989,2.31753,121.982,1049.34
9500,2.26562,2.33123,147.348,868.692
9600,2.25703,2.33595,115.732,1106
9700,2.27024,2.30738,109.932,1164.35
9800,2.2833,2.29812,149.277,857.464
9900,2.27036,2.31192,125.341,1021.22
