split,step,loss
train,100,9.2042236328125
train,200,8.770232200622559
train,300,8.642818450927734
train,400,8.520838737487793
train,500,8.462376594543457
train,600,8.417577743530273
train,700,8.363324165344238
train,800,8.339679718017578
train,900,8.274402618408203
train,1000,8.247233390808105
train,1100,8.242936134338379
train,1200,8.193666458129883
train,1300,8.201443672180176
train,1400,8.1729736328125
train,1500,8.152649879455566
train,1600,8.15497875213623
train,1700,8.13088321685791
train,1800,8.108954429626465
train,1900,8.089502334594727
train,2000,8.08352279663086
train,2100,8.082438468933105
train,2200,8.05115795135498
train,2300,8.068594932556152
train,2400,8.04399585723877
train,2500,8.027976036071777
train,2600,8.040701866149902
train,2700,8.020639419555664
train,2800,8.026717185974121
train,2900,8.000279426574707
train,3000,7.991763114929199
train,3100,7.986807823181152
train,3200,7.974092960357666
train,3300,7.998435974121094
train,3400,7.948972702026367
train,3500,7.964615345001221
train,3600,7.961205959320068
train,3700,7.938636302947998
train,3800,7.951359272003174
train,3900,7.946592330932617
train,4000,7.916741847991943
train,4100,7.943207263946533
train,4200,7.922512531280518
train,4300,7.927275657653809
train,4400,7.909195423126221
train,4500,7.9094767570495605
train,4600,7.916022777557373
train,4700,7.892423152923584
train,4800,7.8999481201171875
train,4900,7.873839378356934
train,5000,7.872391700744629
train,5100,7.892138481140137
train,5200,7.881513595581055
train,5300,7.8915629386901855
train,5400,7.879585266113281
train,5500,7.847227096557617
train,5600,7.879837512969971
train,5700,7.847708702087402
train,5800,7.853496074676514
train,5900,7.843990325927734
train,6000,7.816903591156006
train,6100,7.874752044677734
train,6200,7.818023681640625
train,6300,7.843328475952148
train,6400,7.820085048675537
train,6500,7.810316562652588
train,6600,7.814947128295898
train,6700,7.803594589233398
train,6800,7.8060622215271
train,6900,7.807015419006348
train,7000,7.773078918457031
train,7100,7.811878681182861
train,7200,7.788908958435059
train,7300,7.812802791595459
train,7400,7.78179931640625
train,7500,7.779031276702881
train,7600,7.794057846069336
train,7700,7.761116981506348
train,7800,7.781036853790283
train,7900,7.771877288818359
train,8000,7.73723840713501
train,8100,7.771561145782471
train,8200,7.73905611038208
train,8300,7.756503582000732
train,8400,7.74061393737793
train,8500,7.732266902923584
train,8600,7.760478496551514
train,8700,7.72226619720459
train,8800,7.732661724090576
train,8900,7.722626686096191
train,9000,7.691835880279541
train,9100,7.726135730743408
train,9200,7.695402145385742
train,9300,7.710848331451416
train,9400,7.700239181518555
train,9500,7.678594589233398
train,9600,7.711339950561523
train,9700,7.693109512329102
train,9800,7.693429946899414
train,9900,7.688570499420166
train,10000,7.657328128814697
train,10100,7.681071758270264
train,10200,7.655158996582031
train,10300,7.680051326751709
train,10400,7.6559271812438965
train,10500,7.664137363433838
train,10600,7.670336723327637
train,10700,7.646799564361572
train,10800,7.645046710968018
train,10900,7.649599552154541
train,11000,7.6210174560546875
train,11100,7.637953758239746
train,11200,7.611083984375
train,11300,7.637018203735352
train,11400,7.606011867523193
train,11500,7.611384868621826
train,11600,7.645901203155518
train,11700,7.61336088180542
train,11800,7.621851444244385
train,11900,7.619246482849121
train,12000,7.568800449371338
train,12100,7.612728118896484
train,12200,7.590946674346924
train,12300,7.592867374420166
train,12400,7.579076290130615
train,12500,7.578700542449951
train,12600,7.598528861999512
train,12700,7.572999000549316
train,12800,7.588798522949219
train,12900,7.592126846313477
train,13000,7.5477519035339355
train,13100,7.576688289642334
train,13200,7.539129257202148
train,13300,7.580574035644531
train,13400,7.552514553070068
train,13500,7.552724361419678
train,13600,7.558464050292969
train,13700,7.544723987579346
train,13800,7.54213285446167
train,13900,7.547300815582275
train,14000,7.516496181488037
train,14100,7.559359073638916
train,14200,7.501008033752441
train,14300,7.534459114074707
train,14400,7.516506195068359
train,14500,7.515933513641357
train,14600,7.526127338409424
train,14700,7.505267143249512
train,14800,7.5230584144592285
train,14900,7.517017841339111
train,15000,7.466844081878662
train,15100,7.518106460571289
train,15200,7.4430437088012695
train,15300,7.494904041290283
train,15400,7.461461544036865
train,15500,7.469327926635742
train,15600,7.508588790893555
train,15700,7.481990337371826
train,15800,7.4641547203063965
train,15900,7.47481107711792
train,16000,7.443533897399902
train,16100,7.496176719665527
train,16200,7.463576316833496
train,16300,7.482057094573975
train,16400,7.439176082611084
train,16500,7.436535358428955
train,16600,7.46450138092041
train,16700,7.447258949279785
train,16800,7.46886682510376
train,16900,7.445137977600098
train,17000,7.420074939727783
train,17100,7.461910247802734
train,17200,7.427414894104004
train,17300,7.464362621307373
train,17400,7.4428534507751465
train,17500,7.405190944671631
train,17600,7.440615177154541
train,17700,7.423503875732422
train,17800,7.424498558044434
train,17900,7.426155090332031
train,18000,7.3893866539001465
train,18100,7.451455116271973
train,18200,7.393479824066162
train,18300,7.4301910400390625
train,18400,7.411534786224365
train,18500,7.3903069496154785
train,18600,7.417708396911621
train,18700,7.389484882354736
train,18800,7.377734184265137
train,18900,7.38683557510376
train,19000,7.376522064208984
train,19100,7.409156322479248
train,19200,7.366183757781982
train,19300,7.3959221839904785
train,19400,7.381287574768066
train,19500,7.376774311065674
train,19600,7.403811454772949
train,19700,7.358570575714111
train,19800,7.372994899749756
train,19900,7.373474597930908
train,20000,7.339827537536621
train_subset,100,8.952588319778442
train_subset,200,8.729570388793945
train_subset,300,8.604905843734741
train_subset,400,8.521146535873413
train_subset,500,8.460710287094116
train_subset,600,8.408799409866333
train_subset,700,8.368565082550049
train_subset,800,8.335606813430786
train_subset,900,8.305278301239014
train_subset,1000,8.281345129013062
train_subset,1100,8.256834983825684
train_subset,1200,8.237778186798096
train_subset,1300,8.21838903427124
train_subset,1400,8.200216293334961
train_subset,1500,8.186086177825928
train_subset,1600,8.169659614562988
train_subset,1700,8.156057119369507
train_subset,1800,8.14351511001587
train_subset,1900,8.131525754928589
train_subset,2000,8.120648860931396
train_subset,2100,8.107932806015015
train_subset,2200,8.098553895950317
train_subset,2300,8.088242769241333
train_subset,2400,8.078251600265503
train_subset,2500,8.072270631790161
train_subset,2600,8.062374114990234
train_subset,2700,8.054116487503052
train_subset,2800,8.047072291374207
train_subset,2900,8.039106845855713
train_subset,3000,8.032967925071716
train_subset,3100,8.025434494018555
train_subset,3200,8.017653822898865
train_subset,3300,8.010476469993591
train_subset,3400,8.00460934638977
train_subset,3500,8.000710487365723
train_subset,3600,7.992176055908203
train_subset,3700,7.986782789230347
train_subset,3800,7.981547474861145
train_subset,3900,7.9748687744140625
train_subset,4000,7.9717336893081665
train_subset,4100,7.964705944061279
train_subset,4200,7.959652304649353
train_subset,4300,7.954652905464172
train_subset,4400,7.949089527130127
train_subset,4500,7.94753098487854
train_subset,4600,7.940953254699707
train_subset,4700,7.936349272727966
train_subset,4800,7.932260632514954
train_subset,4900,7.92752468585968
train_subset,5000,7.924827694892883
train_subset,5100,7.917616605758667
train_subset,5200,7.9137314558029175
train_subset,5300,7.910447955131531
train_subset,5400,7.905276298522949
train_subset,5500,7.904404401779175
train_subset,5600,7.898242354393005
train_subset,5700,7.8933234214782715
train_subset,5800,7.889512300491333
train_subset,5900,7.884512186050415
train_subset,6000,7.881718993186951
train_subset,6100,7.875335931777954
train_subset,6200,7.871747374534607
train_subset,6300,7.867356777191162
train_subset,6400,7.864033102989197
train_subset,6500,7.860415697097778
train_subset,6600,7.855180621147156
train_subset,6700,7.851530194282532
train_subset,6800,7.8471983671188354
train_subset,6900,7.843809247016907
train_subset,7000,7.840826988220215
train_subset,7100,7.8365819454193115
train_subset,7200,7.830984830856323
train_subset,7300,7.826955199241638
train_subset,7400,7.822298526763916
train_subset,7500,7.820391535758972
train_subset,7600,7.815628409385681
train_subset,7700,7.8102511167526245
train_subset,7800,7.807348370552063
train_subset,7900,7.802011847496033
train_subset,8000,7.799713850021362
train_subset,8100,7.794421195983887
train_subset,8200,7.791711211204529
train_subset,8300,7.78774893283844
train_subset,8400,7.782577157020569
train_subset,8500,7.7790528535842896
train_subset,8600,7.7747639417648315
train_subset,8700,7.771543502807617
train_subset,8800,7.769341230392456
train_subset,8900,7.7639875411987305
train_subset,9000,7.761435270309448
train_subset,9100,7.755861520767212
train_subset,9200,7.752514481544495
train_subset,9300,7.748799920082092
train_subset,9400,7.744162559509277
train_subset,9500,7.743438243865967
train_subset,9600,7.738976955413818
train_subset,9700,7.733304858207703
train_subset,9800,7.729840636253357
train_subset,9900,7.724738836288452
train_subset,10000,7.723484754562378
train_subset,10100,7.718417286872864
train_subset,10200,7.715863585472107
train_subset,10300,7.710840344429016
train_subset,10400,7.706140995025635
train_subset,10500,7.7058223485946655
train_subset,10600,7.7013444900512695
train_subset,10700,7.697922468185425
train_subset,10800,7.693823933601379
train_subset,10900,7.6902549266815186
train_subset,11000,7.6893556118011475
train_subset,11100,7.6819905042648315
train_subset,11200,7.680112242698669
train_subset,11300,7.675626277923584
train_subset,11400,7.673405051231384
train_subset,11500,7.672308325767517
train_subset,11600,7.665166854858398
train_subset,11700,7.6602184772491455
train_subset,11800,7.6585928201675415
train_subset,11900,7.653671741485596
train_subset,12000,7.6507807970047
train_subset,12100,7.647258520126343
train_subset,12200,7.644453644752502
train_subset,12300,7.639948725700378
train_subset,12400,7.637605547904968
train_subset,12500,7.638489603996277
train_subset,12600,7.6312161684036255
train_subset,12700,7.629101395606995
train_subset,12800,7.626477956771851
train_subset,12900,7.622029662132263
train_subset,13000,7.618418097496033
train_subset,13100,7.612956285476685
train_subset,13200,7.61161196231842
train_subset,13300,7.608968496322632
train_subset,13400,7.605522155761719
train_subset,13500,7.6028172969818115
train_subset,13600,7.598337411880493
train_subset,13700,7.596141695976257
train_subset,13800,7.592399716377258
train_subset,13900,7.588780641555786
train_subset,14000,7.589087128639221
train_subset,14100,7.582402348518372
train_subset,14200,7.579836130142212
train_subset,14300,7.576637029647827
train_subset,14400,7.572339177131653
train_subset,14500,7.573076248168945
train_subset,14600,7.56751561164856
train_subset,14700,7.564570188522339
train_subset,14800,7.561718940734863
train_subset,14900,7.558558464050293
train_subset,15000,7.558161020278931
train_subset,15100,7.552354335784912
train_subset,15200,7.548690319061279
train_subset,15300,7.54570460319519
train_subset,15400,7.5431801080703735
train_subset,15500,7.541254162788391
train_subset,15600,7.538184285163879
train_subset,15700,7.533351421356201
train_subset,15800,7.530727982521057
train_subset,15900,7.5258952379226685
train_subset,16000,7.528274059295654
train_subset,16100,7.521798729896545
train_subset,16200,7.518085241317749
train_subset,16300,7.515040159225464
train_subset,16400,7.516566038131714
train_subset,16500,7.512901544570923
train_subset,16600,7.509721279144287
train_subset,16700,7.508086562156677
train_subset,16800,7.503184795379639
train_subset,16900,7.500363349914551
train_subset,17000,7.498820781707764
train_subset,17100,7.493199586868286
train_subset,17200,7.490520119667053
train_subset,17300,7.488229393959045
train_subset,17400,7.486109375953674
train_subset,17500,7.487480521202087
train_subset,17600,7.480998396873474
train_subset,17700,7.478346347808838
train_subset,17800,7.475048542022705
train_subset,17900,7.472182989120483
train_subset,18000,7.472132563591003
train_subset,18100,7.466687798500061
train_subset,18200,7.467813611030579
train_subset,18300,7.4617661237716675
train_subset,18400,7.458335995674133
train_subset,18500,7.458528399467468
train_subset,18600,7.455649971961975
train_subset,18700,7.451536774635315
train_subset,18800,7.450316905975342
train_subset,18900,7.445781946182251
train_subset,19000,7.445599794387817
train_subset,19100,7.440036296844482
train_subset,19200,7.439233422279358
train_subset,19300,7.436822175979614
train_subset,19400,7.433846592903137
train_subset,19500,7.434438347816467
train_subset,19600,7.430160880088806
train_subset,19700,7.428203463554382
train_subset,19800,7.4256240129470825
train_subset,19900,7.421399712562561
train_subset,20000,7.423256158828735
validation_subset,100,8.839786767959595
validation_subset,200,8.609585762023926
validation_subset,300,8.485752820968628
validation_subset,400,8.40235710144043
validation_subset,500,8.341217279434204
validation_subset,600,8.291459083557129
validation_subset,700,8.251193761825562
validation_subset,800,8.218240976333618
validation_subset,900,8.188889265060425
validation_subset,1000,8.163092136383057
validation_subset,1100,8.140564441680908
validation_subset,1200,8.119442701339722
validation_subset,1300,8.101252794265747
validation_subset,1400,8.08229923248291
validation_subset,1500,8.066444635391235
validation_subset,1600,8.050953149795532
validation_subset,1700,8.035442113876343
validation_subset,1800,8.023257851600647
validation_subset,1900,8.010846734046936
validation_subset,2000,7.998918771743774
validation_subset,2100,7.989516019821167
validation_subset,2200,7.977951288223267
validation_subset,2300,7.968236923217773
validation_subset,2400,7.957707524299622
validation_subset,2500,7.950646281242371
validation_subset,2600,7.94199013710022
validation_subset,2700,7.932234883308411
validation_subset,2800,7.924805521965027
validation_subset,2900,7.917120814323425
validation_subset,3000,7.910729169845581
validation_subset,3100,7.903366684913635
validation_subset,3200,7.895683407783508
validation_subset,3300,7.889005780220032
validation_subset,3400,7.881933331489563
validation_subset,3500,7.877169489860535
validation_subset,3600,7.871143937110901
validation_subset,3700,7.86475133895874
validation_subset,3800,7.859583616256714
validation_subset,3900,7.853859066963196
validation_subset,4000,7.848641514778137
validation_subset,4100,7.843487739562988
validation_subset,4200,7.837919354438782
validation_subset,4300,7.832656145095825
validation_subset,4400,7.8274242877960205
validation_subset,4500,7.822695255279541
validation_subset,4600,7.818051815032959
validation_subset,4700,7.814141631126404
validation_subset,4800,7.8093613386154175
validation_subset,4900,7.805371403694153
validation_subset,5000,7.800981044769287
validation_subset,5100,7.796532154083252
validation_subset,5200,7.791910767555237
validation_subset,5300,7.787779927253723
validation_subset,5400,7.783418536186218
validation_subset,5500,7.779373645782471
validation_subset,5600,7.774569392204285
validation_subset,5700,7.771378397941589
validation_subset,5800,7.768489718437195
validation_subset,5900,7.764256119728088
validation_subset,6000,7.759049892425537
validation_subset,6100,7.7554872035980225
validation_subset,6200,7.75084912776947
validation_subset,6300,7.746920824050903
validation_subset,6400,7.7428953647613525
validation_subset,6500,7.738947868347168
validation_subset,6600,7.735299348831177
validation_subset,6700,7.730901002883911
validation_subset,6800,7.7272069454193115
validation_subset,6900,7.723188757896423
validation_subset,7000,7.719434022903442
validation_subset,7100,7.71469521522522
validation_subset,7200,7.710522532463074
validation_subset,7300,7.706951022148132
validation_subset,7400,7.701931357383728
validation_subset,7500,7.6974369287490845
validation_subset,7600,7.694548487663269
validation_subset,7700,7.690040946006775
validation_subset,7800,7.686571955680847
validation_subset,7900,7.6813294887542725
validation_subset,8000,7.677395939826965
validation_subset,8100,7.672483682632446
validation_subset,8200,7.667753338813782
validation_subset,8300,7.663862824440002
validation_subset,8400,7.660014033317566
validation_subset,8500,7.656483292579651
validation_subset,8600,7.651544570922852
validation_subset,8700,7.647643089294434
validation_subset,8800,7.6425875425338745
validation_subset,8900,7.638720512390137
validation_subset,9000,7.634648680686951
validation_subset,9100,7.631144762039185
validation_subset,9200,7.626205682754517
validation_subset,9300,7.622461199760437
validation_subset,9400,7.618205308914185
validation_subset,9500,7.614485859870911
validation_subset,9600,7.611671566963196
validation_subset,9700,7.60556948184967
validation_subset,9800,7.6026142835617065
validation_subset,9900,7.5982173681259155
validation_subset,10000,7.59445595741272
validation_subset,10100,7.590920925140381
validation_subset,10200,7.586560487747192
validation_subset,10300,7.583761930465698
validation_subset,10400,7.577963948249817
validation_subset,10500,7.575944662094116
validation_subset,10600,7.57042932510376
validation_subset,10700,7.566910266876221
validation_subset,10800,7.564039945602417
validation_subset,10900,7.55947744846344
validation_subset,11000,7.556604743003845
validation_subset,11100,7.553026080131531
validation_subset,11200,7.549959897994995
validation_subset,11300,7.543519020080566
validation_subset,11400,7.540517330169678
validation_subset,11500,7.538625955581665
validation_subset,11600,7.534656882286072
validation_subset,11700,7.528424143791199
validation_subset,11800,7.526421070098877
validation_subset,11900,7.5220372676849365
validation_subset,12000,7.51869535446167
validation_subset,12100,7.514510273933411
validation_subset,12200,7.510822653770447
validation_subset,12300,7.505856513977051
validation_subset,12400,7.503546595573425
