step,raw_loss,smooth_loss
0,4.369253635406494,4.369253635406494
1,4.389581680297852,4.3702700376510615
2,4.307811260223389,4.367147098779678
3,4.312568664550781,4.364418177068233
4,4.301137447357178,4.36125414058268
5,4.310805797576904,4.358731723432391
6,4.27649450302124,4.354619862411834
7,4.310853481292725,4.352431543355879
8,4.229995250701904,4.34630972872318
9,4.201757907867432,4.339082137680393
10,4.170563697814941,4.33065621568712
11,4.140464782714844,4.321146644038507
12,4.18534517288208,4.314356570480685
13,4.092669486999512,4.303272216306626
14,4.0435357093811035,4.29028539096035
15,4.047789573669434,4.278160600095804
16,3.944659471511841,4.2614855436666055
17,4.0123491287231445,4.249028722919433
18,3.955014228820801,4.234327998214502
19,3.8889198303222656,4.21705758981989
20,3.9263153076171875,4.202520475709755
21,3.866579532623291,4.1857234285554314
22,3.832597255706787,4.168067119912999
23,3.7781436443328857,4.148570946133994
24,3.8224639892578125,4.132265598290185
25,3.824758768081665,4.116890256779759
26,3.7325642108917236,4.097673954485357
27,3.7374441623687744,4.079662464879528
28,3.677001476287842,4.059529415449943
29,3.7185544967651367,4.042480669515703
30,3.636119842529297,4.022162628166383
31,3.6844449043273926,4.005276741974433
32,3.605288028717041,3.9852773063115636
33,3.6464104652404785,3.9683339642580093
34,3.6158394813537598,3.9507092401127966
35,3.600123882293701,3.9331799722218417
36,3.519685745239258,3.9125052608727127
37,3.5630531311035156,3.8950326543842526
38,3.7174925804138184,3.886155650685731
39,3.6496782302856445,3.8743317796657264
40,3.595613718032837,3.8603958765840822
41,3.604520797729492,3.847602122641353
42,3.5379035472869873,3.8321171938736343
43,3.4700369834899902,3.8140131833544517
44,3.5558769702911377,3.801106372701286
45,3.572620391845703,3.789682073658507
46,3.502021312713623,3.775299035611263
47,3.381592273712158,3.7556136975163077
48,3.5191650390625,3.743791264593617
49,3.4615795612335205,3.7296806794256123
50,3.508394241333008,3.718616357520982
51,3.5007498264312744,3.7077230309664966
52,3.4289755821228027,3.693785658524312
53,3.5027647018432617,3.6842346106902593
54,3.5776331424713135,3.678904537279312
55,3.4030861854553223,3.6651136196881122
56,3.534187078475952,3.658567292627504
57,3.508971929550171,3.6510875244736374
58,3.445103883743286,3.6407883424371197
59,3.5231754779815674,3.634907699214342
60,3.433668613433838,3.6248457449253166
61,3.463881731033325,3.616797544230717
62,3.4568333625793457,3.608799335148148
63,3.742626667022705,3.615490701741876
64,3.4072275161743164,3.6050775424634978
65,3.407740592956543,3.59521069498815
66,3.503614664077759,3.59063089344263
67,3.4614417552948,3.5841714365352386
68,3.4113285541534424,3.575529292416149
69,3.3515076637268066,3.564328210981682
70,3.4017581939697266,3.556199710131084
71,3.533961296081543,3.555087789428607
72,3.3628108501434326,3.545473942464348
73,3.458547592163086,3.541127624949285
74,3.465083599090576,3.5373254236563496
75,3.519352912902832,3.536426798118674
76,3.502095937728882,3.534710255099184
77,3.4890198707580566,3.5324257358821276
78,3.318427324295044,3.5217258153027733
79,3.53501558303833,3.522390303689551
80,3.460780382156372,3.519309807612892
81,3.3423447608947754,3.510461555276986
82,3.322122573852539,3.5010446062057636
83,3.3007967472076416,3.4910322132558576
84,3.3810391426086426,3.485532559723497
85,3.281205177307129,3.475316190602679
86,3.386443853378296,3.4708725737414596
87,3.412705421447754,3.4679642161267745
88,3.3749122619628906,3.4633116184185804
89,3.36427640914917,3.45835985795511
90,3.3705670833587646,3.4539702192252926
91,3.3575596809387207,3.449149692310964
92,3.440877914428711,3.4487361034168513
93,3.321655750274658,3.442382085759742
94,3.3516175746917725,3.4378438602063435
95,3.410919666290283,3.4364976505105407
96,3.3361661434173584,3.4314810751558813
97,3.3829565048217773,3.429054846639176
98,3.3272342681884766,3.423963817716641
99,3.5012760162353516,3.427829427642577
100,3.5606749057769775,3.4344717015492967
101,3.403275489807129,3.4329118909621887
102,3.3997838497161865,3.4312554888998887
103,3.3715803623199463,3.4282717325708916
104,3.477482795715332,3.4307322857281135
105,3.2778475284576416,3.42308804786459
106,3.3483235836029053,3.419349824651506
107,3.3659849166870117,3.4166815792532814
108,3.5247058868408203,3.4220827946326584
109,3.5274393558502197,3.4273506226935364
110,3.2921018600463867,3.4205881845611787
111,3.3845036029815674,3.4187839554821986
112,3.3707895278930664,3.416384234102742
113,3.297156572341919,3.410422851014701
114,3.3263423442840576,3.406218825678169
115,3.3694140911102295,3.404378588949772
116,3.409656524658203,3.4046424857351933
117,3.2751262187957764,3.3981666723882222
118,3.2915570735931396,3.3928361924484682
119,3.314650774002075,3.3889269215261484
120,3.453312873840332,3.392146219141858
121,3.2456631660461426,3.384822066487072
122,3.398366928100586,3.3854993095677477
123,3.3320424556732178,3.3828264668730212
124,3.3987255096435547,3.383621419011548
125,3.2725625038146973,3.3780684732517052
126,3.38155460357666,3.378242779767953
127,3.343626022338867,3.376511941896499
128,3.3268117904663086,3.374026934324989
129,3.2828588485717773,3.3694685300373286
130,3.385037660598755,3.3702469865654003
131,3.3435850143432617,3.3689138879542937
132,3.261078357696533,3.363522111441406
133,3.358394145965576,3.3632657131676145
134,3.250028371810913,3.3576038460997797
135,3.2556042671203613,3.352503867150809
136,3.31139874458313,3.3504486110224247
137,3.3509299755096436,3.350472679246786
138,3.263036012649536,3.346100845916923
139,3.366750955581665,3.3471333514001604
140,3.2447361946105957,3.3420134935606822
141,3.3942689895629883,3.3446262683607975
142,3.3882129192352295,3.346805600904519
143,3.339287042617798,3.346429672990183
144,3.3750743865966797,3.3478619086705077
145,3.3554208278656006,3.348239854630262
146,3.326213836669922,3.347138553732245
147,3.3073666095733643,3.3451499565243012
148,3.405294179916382,3.3481571676939055
149,3.357966423034668,3.3486476304609436
150,3.4224987030029297,3.352340184088043
151,3.314924716949463,3.350469410731114
152,3.247119426727295,3.345301911530923
153,3.4349827766418457,3.3497859547864692
154,3.2271995544433594,3.3436566347693137
155,3.3171377182006836,3.342330688940882
156,3.333482503890991,3.3418882796883875
157,3.361623525619507,3.3428750419849433
158,3.325778007507324,3.3420201902610627
159,3.259601593017578,3.3378992603988884
160,3.4405517578125,3.3430318852695686
161,3.5702643394470215,3.3543935079784415
162,3.2532997131347656,3.349338818236258
163,3.3411805629730225,3.3489309054730962
164,3.290468215942383,3.3460077709965605
165,3.277071237564087,3.3425609443249367
166,3.1933302879333496,3.3350994115053574
167,3.3795042037963867,3.3373196511199086
168,3.501824378967285,3.3455448875122773
169,3.2549848556518555,3.3410168859192564
170,3.354616641998291,3.3416968737232082
171,3.3586504459381104,3.3425445523339534
172,3.352905750274658,3.3430626122309888
173,3.3822224140167236,3.3450206023202758
174,3.344481945037842,3.344993669456154
175,3.3018038272857666,3.342834177347635
176,3.439746379852295,3.347679787472868
177,3.3248302936553955,3.3465373127819946
178,3.3053157329559326,3.3444762337906915
179,3.4317009449005127,3.348837469346183
180,3.3308448791503906,3.3479378398363933
181,3.2813801765441895,3.3446099566717833
182,3.4462075233459473,3.3496898350054916
183,3.3633923530578613,3.35037496090811
184,3.214552640914917,3.3435838449084505
185,3.3700125217437744,3.344905278750217
186,3.2645349502563477,3.340886762325524
187,3.3843231201171875,3.3430585802151067
