step,train_loss,val_loss,step_time_ms,tokens_per_second
0,3.14991,3.14374,91.9777,1391.64
100,2.66681,2.64307,92.008,1391.18
200,2.59264,2.59734,91.7822,1394.61
300,2.56364,2.57718,91.7861,1394.55
400,2.55675,2.54052,91.6891,1396.02
500,2.50512,2.48772,91.6928,1395.97
600,2.49498,2.47686,91.7333,1395.35
700,2.48855,2.48351,96.9566,1320.18
800,2.47129,2.45942,105.98,1207.77
900,2.45213,2.4499,107.662,1188.91
1000,2.44491,2.43776,111.946,1143.41
1100,2.42733,2.44517,105.901,1208.67
1200,2.40451,2.42089,106.998,1196.29
1300,2.41844,2.43173,101.606,1259.76
1400,2.39712,2.41447,102.852,1244.51
1500,2.37987,2.42506,105.002,1219.02
1600,2.39172,2.41889,159.654,801.734
1700,2.40537,2.41074,143.643,891.098
1800,2.38695,2.41708,134.973,948.34
1900,2.37574,2.40609,129.161,991.013
2000,2.38315,2.39509,134.218,953.669
2100,2.38918,2.39865,135.038,947.884
2200,2.3662,2.38438,148.872,859.797
2300,2.36251,2.42314,139.26,919.145
2400,2.36848,2.37384,136.886,935.083
2500,2.35193,2.36727,133.011,962.326
2600,2.36682,2.36168,126.27,1013.7
2700,2.34199,2.36734,131.907,970.377
2800,2.35407,2.37501,145.43,880.147
2900,2.36073,2.36342,132.225,968.045
3000,2.34761,2.37432,135.282,946.173
3100,2.3527,2.37129,128.901,993.009
3200,2.33611,2.35512,163.999,780.492
3300,2.31919,2.34465,146.583,873.225
3400,2.37083,2.36571,134.584,951.076
3500,2.33069,2.37148,136.001,941.172
3600,2.33837,2.35326,136.939,934.721
3700,2.32761,2.35764,131.197,975.635
3800,2.33417,2.36752,134.708,950.206
3900,2.33413,2.34005,132.197,968.25
4000,2.32072,2.36582,150.476,850.631
4100,2.32418,2.35783,140.208,912.932
4200,2.3295,2.34525,133.67,957.586
4300,2.306,2.34426,133.462,959.077
4400,2.31043,2.36754,135.393,945.396
4500,2.3072,2.34087,137.628,930.042
4600,2.321,2.36713,154.244,829.854
4700,2.34843,2.34794,144.492,885.862
4800,2.31169,2.30683,135.268,946.27
4900,2.29956,2.35937,138.122,926.714
5000,2.30809,2.3488,134.511,951.597
5100,2.29482,2.33373,148.097,864.301
5200,2.29333,2.36818,144.75,884.283
5300,2.30849,2.3657,141.875,902.2
5400,2.30608,2.35946,168.243,760.805
5500,2.3117,2.36456,137.277,932.421
5600,2.33484,2.34356,136.309,939.044
5700,2.31262,2.36365,145.577,879.262
5800,2.31397,2.33855,145.291,880.99
5900,2.32549,2.32288,138.17,926.393
6000,2.28472,2.32829,145.792,877.965
6100,2.28758,2.31754,154.672,827.559
6200,2.2995,2.34174,145.342,880.682
6300,2.29294,2.33684,150.179,852.314
6400,2.25789,2.32489,145.321,880.806
6500,2.28961,2.35116,141.196,906.543
6600,2.30469,2.35216,90.5148,1414.13
6700,2.29439,2.33779,90.3769,1416.29
6800,2.28688,2.34839,90.2931,1417.61
6900,2.27972,2.3358,90.2488,1418.3
7000,2.27631,2.339,90.5735,1413.22
7100,2.28898,2.32542,90.4219,1415.59
7200,2.30702,2.30492,90.6563,1411.93
7300,2.29239,2.31882,90.9764,1406.96
7400,2.27509,2.31895,90.4127,1415.73
7500,2.30188,2.31869,90.6693,1411.72
7600,2.26799,2.33018,90.6149,1412.57
7700,2.27944,2.33526,90.3089,1417.36
7800,2.28544,2.31857,90.5059,1414.27
7900,2.27845,2.31288,91.2495,1402.75
8000,2.27285,2.3415,90.4832,1414.63
8100,2.25806,2.31716,90.7316,1410.75
8200,2.26326,2.32725,90.5571,1413.47
8300,2.28398,2.31332,91.0005,1406.59
8400,2.28799,2.33451,90.3086,1417.36
8500,2.29252,2.3376,261.435,489.605
8600,2.25793,2.29173,314.36,407.177
8700,2.26824,2.30048,101.448,1261.73
8800,2.26899,2.3086,135.538,944.386
8900,2.25962,2.34546,93.9031,1363.11
9000,2.28386,2.33523,111.256,1150.5
9100,2.26705,2.32702,103.534,1236.31
9200,2.26487,2.29975,122.508,1044.83
9300,2.26258,2.33442,117.598,1088.46
9400,2.24989,2.31753,96.5688,1325.48
9500,2.26562,2.33123,96.2174,1330.32
9600,2.25703,2.33595,124.717,1026.33
9700,2.27024,2.30738,101.123,1265.79
9800,2.2833,2.29812,95.8297,1335.7
9900,2.27036,2.31192,95.5433,1339.71
