step,raw_loss,smooth_loss
0,4.556036949157715,4.556036949157715
1,4.332091331481934,4.5448396682739265
2,4.251569747924805,4.53017617225647
3,4.139856815338135,4.510660204410554
4,4.100597381591797,4.490157063269616
5,4.014360427856445,4.466367231498958
6,3.918107032775879,4.438954221562804
7,3.7743287086486816,4.405722945917098
8,3.87235164642334,4.37905438094241
9,3.8099803924560547,4.350600681518093
10,3.7546918392181396,4.320805239403095
11,3.774519920349121,4.293490973450395
12,3.705294609069824,4.264081155231366
13,3.6289353370666504,4.232323864323131
14,3.611910581588745,4.201303200186412
15,3.637552261352539,4.173115653244718
16,3.6641297340393066,4.147666357284447
17,3.625551462173462,4.121560612528898
18,3.57733154296875,4.094349159050891
19,3.625670909881592,4.070915246592426
20,3.492730140686035,4.042005991297106
21,3.634761095046997,4.021643746484601
22,3.5709457397460938,3.999108846147676
23,3.559689998626709,3.9771379037716277
24,3.499882221221924,3.9532751196441422
25,3.49466609954834,3.930344668639352
26,3.520836353302002,3.9098692528724848
27,3.519421100616455,3.8903468452596837
28,3.5904712677001953,3.875353066381709
29,3.447291612625122,3.8539499936938797
30,3.407289505004883,3.83161696925943
31,3.494584798812866,3.814765360737102
32,3.491870641708374,3.7986206247856655
33,3.500347137451172,3.783706950418941
34,3.4469406604766846,3.766868635921828
35,3.445427179336548,3.7507965630925644
36,3.344022035598755,3.7304578367178736
37,3.4446475505828857,3.7161673224111245
38,3.448589563369751,3.702788434459056
39,3.2868645191192627,3.6819922386920663
40,3.4400417804718018,3.669894715781053
41,3.349583864212036,3.653879173202602
42,3.374171495437622,3.639893789314353
43,3.483734130859375,3.6320858063916037
44,3.3692169189453125,3.618942362019289
45,3.390120506286621,3.6075012692326553
46,3.3557534217834473,3.5949138768601947
47,3.332662582397461,3.581801312137058
48,3.418712854385376,3.5736468892494737
49,3.3547744750976562,3.562703268541883
50,3.3916375637054443,3.554149983300061
51,3.4307985305786133,3.547982410663989
52,3.332976818084717,3.537232131035025
53,3.3537821769714355,3.528059633331846
54,3.3678736686706543,3.5200503350987864
55,3.3036062717437744,3.509228131931036
56,3.3495402336120605,3.5012437370150873
57,3.325303554534912,3.4924467278910787
58,3.3290395736694336,3.4842763701799964
59,3.373830795288086,3.478754091435401
60,3.375814437866211,3.4736071087569416
61,3.2786526679992676,3.463859386719058
62,3.4015023708343506,3.4607415359248224
63,3.354652166366577,3.45543706744691
64,3.287687301635742,3.4470495791563516
65,3.3691253662109375,3.4431533685090807
66,3.2541778087615967,3.4337045905217067
67,3.3942909240722656,3.4317339071992348
68,3.3246734142303467,3.42638088255079
69,3.264678955078125,3.418295786177157
70,3.305999517440796,3.412680972740339
71,3.4095633029937744,3.4125250892530103
72,3.294954776763916,3.4066465736285556
73,3.356853485107422,3.404156919202499
74,3.2564263343811035,3.3967703899614294
75,3.4811043739318848,3.400987089159952
76,3.2924914360046387,3.3955623065021863
77,3.319753885269165,3.3917718854405354
78,3.30497407913208,3.387431995125113
79,3.2424540519714355,3.380183097967429
80,3.33097505569458,3.377722695853787
81,3.279737710952759,3.3728234466087352
82,3.2935070991516113,3.3688576292358787
83,3.217193603515625,3.361274427949866
84,3.3376307487487793,3.3600922439898118
85,3.333585023880005,3.3587668829843214
86,3.3893415927886963,3.3602956184745403
87,3.353515863418579,3.359956630721742
88,3.3700003623962402,3.360458817305467
89,3.251500129699707,3.355010882925179
90,3.1937313079833984,3.3469469041780897
91,3.274458885192871,3.343322503228829
92,3.2068161964416504,3.33649718788947
93,3.2327921390533447,3.3313119354476637
94,3.203169822692871,3.324904829809924
95,3.284445285797119,3.3228818526092834
96,3.1758334636688232,3.3155294331622605
97,3.3141379356384277,3.315459858286069
98,3.2797091007232666,3.313672320407929
99,3.2684450149536133,3.311410955135213
100,3.2285118103027344,3.307265997893589
101,3.3047242164611816,3.307138908821969
102,3.298192262649536,3.306691576513347
103,3.207179546356201,3.30171597500549
104,3.4239935874938965,3.30782985562991
105,3.3614234924316406,3.3105095374699967
106,3.3918137550354004,3.314574748348267
107,3.208773136138916,3.309284667737799
108,3.3490381240844727,3.3112723405551328
109,3.255760669708252,3.308496757012789
110,3.1261117458343506,3.2993775064538666
111,3.324286460876465,3.3006229541749965
112,3.2259013652801514,3.296886874730254
113,3.2707958221435547,3.295582322100919
114,3.4466423988342285,3.303135325937584
115,3.2004189491271973,3.2979995070970647
116,3.3497838973999023,3.3005887266122067
117,3.2259867191314697,3.29685862623817
118,3.366753101348877,3.3003533499937054
119,3.262261390686035,3.298448752028322
120,3.290803909301758,3.298066509891994
121,3.1936464309692383,3.292845505945856
122,3.2078628540039062,3.288596373348758
123,3.1650068759918213,3.2824168984809114
124,3.1629526615142822,3.2764436866325797
125,3.2252984046936035,3.2738864225356306
126,3.2866103649139404,3.274522619654546
127,3.2308847904205322,3.2723407281928454
128,3.232268810272217,3.270337132296814
129,3.3489136695861816,3.2742659591612826
130,3.275676727294922,3.2743364975679645
131,3.2188191413879395,3.2715606297589632
132,3.2225754261016846,3.269111369576099
133,3.2266845703125,3.266990029612919
134,3.137129783630371,3.2604970173137917
135,3.190479040145874,3.256996118455396
136,3.175410747528076,3.25291684990903
137,3.183316707611084,3.249436842794133
138,3.251706123352051,3.249550306822029
139,3.288743495941162,3.251509966277985
140,3.181305408477783,3.247999738387975
141,3.2891621589660645,3.2500578594168794
142,3.2233004570007324,3.248719989296072
143,3.1822359561920166,3.2453957876408692
144,3.2636942863464355,3.2463107125761477
145,3.216179370880127,3.2448041454913468
146,3.224371910095215,3.2437825337215402
147,3.1658310890197754,3.2398849614864518
148,3.222592830657959,3.239020354945027
149,3.2522635459899902,3.239682514497275
150,3.321964740753174,3.24379662581007
151,3.19429612159729,3.241321600599431
152,3.332540988922119,3.2458825700155653
153,3.2133002281188965,3.2442534529207316
154,3.153076648712158,3.239694612710303
155,3.2631521224975586,3.240867488199666
156,3.2333474159240723,3.2404914845858865
157,3.2239105701446533,3.239662438863825
158,3.296727180480957,3.2425156759446816
159,3.1473848819732666,3.237759136246111
160,3.295966625213623,3.2406695106944867
161,3.232314109802246,3.2402517406498745
162,3.1802048683166504,3.2372493970332132
163,3.136613130569458,3.2322175837100255
164,3.1464481353759766,3.227929111293323
165,3.1115002632141113,3.2221076688893624
166,3.0983846187591553,3.215921516382852
167,3.2406816482543945,3.217159522976429
168,3.1187541484832764,3.212239254251771
169,3.192707061767578,3.2112626446275616
170,3.0499637126922607,3.2031976980307966
171,3.1673247814178467,3.2014040522001492
172,3.167949914932251,3.199731345336754
173,3.223670482635498,3.2009283022016914
174,3.2310585975646973,3.2024348169698413
175,3.2579312324523926,3.205209637743969
176,3.128159284591675,3.2013571200863544
177,3.212191104888916,3.2018988193264826
178,3.2344512939453125,3.2035264430574237
179,3.153850793838501,3.2010426605964777
180,3.1414990425109863,3.198065479692203
181,3.1773898601531982,3.1970316987152527
182,3.2296500205993652,3.1986626148094586
183,3.3050990104675293,3.203984434592362
184,3.2272632122039795,3.2051483734729427
185,3.125250816345215,3.2011534956165564
186,3.177582263946533,3.1999749340330554
187,3.1168630123138428,3.195819337947095
188,3.107126235961914,3.1913846828478363
189,3.136098861694336,3.1886203917901614
190,3.1839544773101807,3.188387096066162
191,3.182309865951538,3.188083234560431
192,3.15236234664917,3.186297190164868
193,3.21087646484375,3.187526153898812
194,3.130182981491089,3.184658995278426
195,3.158442974090576,3.1833481942190334
196,3.1404008865356445,3.181200828834864
197,3.241473913192749,3.1842144830527586
198,3.0476462841033936,3.17738607310529
199,3.1130597591400146,3.1741697574070264
200,3.071755886077881,3.169049063840569
201,3.162827968597412,3.168738009078411
202,3.063471555709839,3.1634746864099825
203,3.1113970279693604,3.1608708034879514
204,3.2232766151428223,3.1639910940706946
205,3.0864880084991455,3.1601159397921172
206,3.1755242347717285,3.160886354541098
207,3.063131332397461,3.155998603433916
208,3.116053581237793,3.15400135232411
209,3.236354351043701,3.1581190022600896
210,3.1021862030029297,3.1553223622972313
211,3.1089487075805664,3.1530036795613983
212,3.061589241027832,3.14843295763472
213,3.1105451583862305,3.1465385676722954
214,3.0903282165527344,3.1437280501163176
215,3.1369640827178955,3.1433898517463965
216,3.107442855834961,3.1415925019508246
217,3.125429153442383,3.1407843345254025
218,3.1717426776885986,3.142332251683562
219,3.158419370651245,3.1431366076319462
220,3.121860980987549,3.1420728262997266
221,3.1307826042175293,3.1415083151956167
222,3.1793746948242188,3.1434016341770468
223,3.1641879081726074,3.144440947876825
224,3.171952724456787,3.1458165367058233
225,3.125039577484131,3.1447776887447385
226,3.0381522178649902,3.139446415200751
227,3.1269497871398926,3.138821583797708
228,3.0725717544555664,3.135509092330601
229,3.1113758087158203,3.1343024281498617
230,3.0397214889526367,3.1295733811900006
231,3.138092041015625,3.1299993141812816
232,3.1979470252990723,3.1333966997371707
233,3.0974345207214355,3.1315985907863837
234,3.0335276126861572,3.126695041881372
235,3.137946128845215,3.127257596229564
236,3.1403608322143555,3.1279127580288035
237,3.0219955444335938,3.122616897349043
238,3.146042823791504,3.123788193671166
239,3.100651741027832,3.1226313710389992
240,3.0847327709198,3.1207364410330394
241,3.0606160163879395,3.1177304198007847
242,3.115396022796631,3.117613699950577
243,3.074345827102661,3.115450306308181
244,3.00527286529541,3.1099414342575424
245,2.9861702919006348,3.103752877139697
246,3.1045422554016113,3.103792346052793
247,3.1642074584960938,3.106813101674958
248,3.130643367767334,3.108004614979577
249,3.06351375579834,3.105780072020515
250,3.064466953277588,3.1037144160833687
251,3.0446457862854004,3.10076098459347
252,3.065958023071289,3.099020836517361
253,3.0706613063812256,3.0976028600105545
254,2.949907064437866,3.09021807023192
255,3.150418758392334,3.0932281046399406
256,3.03694748878479,3.090414073847183
257,3.1835594177246094,3.0950713410410544
258,3.208644390106201,3.1007499934943117
259,3.0420494079589844,3.097814964217545
260,3.0372955799102783,3.094788995002182
261,3.13388729095459,3.096743909799802
262,3.167050361633301,3.100259232391477
263,3.180105447769165,3.1042515431603617
264,3.1183061599731445,3.1049542740010008
265,3.1292295455932617,3.1061680375806136
266,3.023542881011963,3.102036779752181
267,3.1328256130218506,3.1035762214156644
268,3.108895778656006,3.1038421992776817
269,3.013888120651245,3.09934449534636
270,3.131251335144043,3.100939837336244
271,3.016798496246338,3.0967327702817484
272,3.0440380573272705,3.0940980346340248
273,3.0779225826263428,3.0932892620336405
274,2.9961705207824707,3.088433324971082
275,3.101548671722412,3.0890890923086483
276,3.0100369453430176,3.0851364849603664
277,2.9497010707855225,3.078364714251624
278,3.143153190612793,3.0816041380696824
279,3.158964157104492,3.085472139021423
280,2.972242832183838,3.0798106736795434
281,2.9592981338500977,3.073785046688071
282,3.104644775390625,3.075328033123199
283,2.9781198501586914,3.0704676239749737
284,2.9554553031921387,3.064717007935832
285,3.0181517601013184,3.0623887455441063
